doi,authors,comments,updated,categories
10.1038/s41550-024-02338-0,"[arxiv.Result.Author('Jakob Stegmann'), arxiv.Result.Author('Lorenz Zwick'), arxiv.Result.Author('Sander M. Vermeulen'), arxiv.Result.Author('Fabio Antonini'), arxiv.Result.Author('Lucio Mayer')]","20 pages, 6 figures. Nature Astronomy (2024)",2024-08-08 08:53:41+00:00,"['astro-ph.HE', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR', 'gr-qc']"
10.21105/joss.04756,"[arxiv.Result.Author('Robert G. Izzard'), arxiv.Result.Author('David D. Hendriks'), arxiv.Result.Author('Daniel P. Nemergut')]","Accepted for publication in JOSS (The Journal of Open-Source
  Software)",2024-01-25 16:07:59+00:00,"['cs.DS', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.IM', 'astro-ph.SR']"
10.1103/PhysRevD.107.043012,"[arxiv.Result.Author('Pooja Bhattacharjee'), arxiv.Result.Author('Francesca Calore'), arxiv.Result.Author('Pasquale Dario Serpico')]","13 pages, 5 figures. An erratum has been added",2024-07-20 21:58:42+00:00,"['astro-ph.HE', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.SR', 'hep-ph']"
,"[arxiv.Result.Author('Rebecca K. Leane'), arxiv.Result.Author('Juri Smirnov')]","32 pages, 11 figures, for the Asteria package, see
  https://zenodo.org/record/8150110",2023-09-01 18:00:00+00:00,"['hep-ph', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.HE', 'astro-ph.SR']"
10.1038/s41586-022-05145-7,"[arxiv.Result.Author('Kunal P. Mooley'), arxiv.Result.Author('Jay Anderson'), arxiv.Result.Author('Wenbin Lu')]","Published in Nature main journal (full-text SharedIt link:
  https://rdcu.be/cXpWx). Jet proper motion data available at:
  https://github.com/kmooley/GW170817/ and
  http://www.tauceti.caltech.edu/kunal/gw170817/",2022-10-12 20:12:24+00:00,"['astro-ph.HE', 'astro-ph.CO', 'astro-ph.IM', 'astro-ph.SR', 'gr-qc']"
10.1093/mnras/sts360,"[arxiv.Result.Author('C. P. L. Berry'), arxiv.Result.Author('J. R. Gair')]","25 pages, 17 figures, 1 appendix. One more typo fixed",2013-01-30 12:50:48+00:00,"['astro-ph.HE', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.IM', 'gr-qc']"
10.3847/2041-8213/acda88,"[arxiv.Result.Author('Gabriella Agazie'), arxiv.Result.Author('Akash Anumarlapudi'), arxiv.Result.Author('Anne M. Archibald'), arxiv.Result.Author('Zaven Arzoumanian'), arxiv.Result.Author('Paul T. Baker'), arxiv.Result.Author('Bence Bécsy'), arxiv.Result.Author('Laura Blecha'), arxiv.Result.Author('Adam Brazier'), arxiv.Result.Author('Paul R. Brook'), arxiv.Result.Author('Sarah Burke-Spolaor'), arxiv.Result.Author('Maria Charisi'), arxiv.Result.Author('Shami Chatterjee'), arxiv.Result.Author('Tyler Cohen'), arxiv.Result.Author('James M. Cordes'), arxiv.Result.Author('Neil J. Cornish'), arxiv.Result.Author('Fronefield Crawford'), arxiv.Result.Author('H. Thankful Cromartie'), arxiv.Result.Author('Kathryn Crowter'), arxiv.Result.Author('Megan E. Decesar'), arxiv.Result.Author('Paul B. Demorest'), arxiv.Result.Author('Timothy Dolch'), arxiv.Result.Author('Brendan Drachler'), arxiv.Result.Author('Elizabeth C. Ferrara'), arxiv.Result.Author('William Fiore'), arxiv.Result.Author('Emmanuel Fonseca'), arxiv.Result.Author('Gabriel E. Freedman'), arxiv.Result.Author('Nate Garver-Daniels'), arxiv.Result.Author('Peter A. Gentile'), arxiv.Result.Author('Joseph Glaser'), arxiv.Result.Author('Deborah C. Good'), arxiv.Result.Author('Lydia Guertin'), arxiv.Result.Author('Kayhan Gültekin'), arxiv.Result.Author('Jeffrey S. Hazboun'), arxiv.Result.Author('Ross J. Jennings'), arxiv.Result.Author('Aaron D. Johnson'), arxiv.Result.Author('Megan L. Jones'), arxiv.Result.Author('Andrew R. Kaiser'), arxiv.Result.Author('David L. Kaplan'), arxiv.Result.Author('Luke Zoltan Kelley'), arxiv.Result.Author('Matthew Kerr'), arxiv.Result.Author('Joey S. Key'), arxiv.Result.Author('Nima Laal'), arxiv.Result.Author('Michael T. Lam'), arxiv.Result.Author('William G. Lamb'), arxiv.Result.Author('T. Joseph W. Lazio'), arxiv.Result.Author('Natalia Lewandowska'), arxiv.Result.Author('Tingting Liu'), arxiv.Result.Author('Duncan R. Lorimer'), arxiv.Result.Author('Jing Luo'), arxiv.Result.Author('Ryan S. Lynch'), arxiv.Result.Author('Chung-Pei Ma'), arxiv.Result.Author('Dustin R. Madison'), arxiv.Result.Author('Alexander Mcewen'), arxiv.Result.Author('James W. Mckee'), arxiv.Result.Author('Maura A. Mclaughlin'), arxiv.Result.Author('Natasha Mcmann'), arxiv.Result.Author('Bradley W. Meyers'), arxiv.Result.Author('Chiara M. F. Mingarelli'), arxiv.Result.Author('Andrea Mitridate'), arxiv.Result.Author('Cherry Ng'), arxiv.Result.Author('David J. Nice'), arxiv.Result.Author('Stella Koch Ocker'), arxiv.Result.Author('Ken D. Olum'), arxiv.Result.Author('Timothy T. Pennucci'), arxiv.Result.Author('Benetge B. P. Perera'), arxiv.Result.Author('Nihan S. Pol'), arxiv.Result.Author('Henri A. Radovan'), arxiv.Result.Author('Scott M. Ransom'), arxiv.Result.Author('Paul S. Ray'), arxiv.Result.Author('Joseph D. Romano'), arxiv.Result.Author('Shashwat C. Sardesai'), arxiv.Result.Author('Ann Schmiedekamp'), arxiv.Result.Author('Carl Schmiedekamp'), arxiv.Result.Author('Kai Schmitz'), arxiv.Result.Author('Brent J. Shapiro-Albert'), arxiv.Result.Author('Xavier Siemens'), arxiv.Result.Author('Joseph Simon'), arxiv.Result.Author('Magdalena S. Siwek'), arxiv.Result.Author('Ingrid H. Stairs'), arxiv.Result.Author('Daniel R. Stinebring'), arxiv.Result.Author('Kevin Stovall'), arxiv.Result.Author('Abhimanyu Susobhanan'), arxiv.Result.Author('Joseph K. Swiggum'), arxiv.Result.Author('Stephen R. Taylor'), arxiv.Result.Author('Jacob E. Turner'), arxiv.Result.Author('Caner Unal'), arxiv.Result.Author('Michele Vallisneri'), arxiv.Result.Author('Sarah J. Vigeland'), arxiv.Result.Author('Haley M. Wahl'), arxiv.Result.Author('Caitlin A. Witt'), arxiv.Result.Author('Olivia Young')]","67 pages, 73 figures, 3 tables; published in Astrophysical Journal
  Letters as part of Focus on NANOGrav's 15-year Data Set and the Gravitational
  Wave Background. For questions or comments, please email
  comments@nanograv.org",2023-06-28 13:51:06+00:00,"['astro-ph.HE', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.IM', 'gr-qc']"
10.1093/mnras/stu1717,"[arxiv.Result.Author('X. -J. Zhu'), arxiv.Result.Author('G. Hobbs'), arxiv.Result.Author('L. Wen'), arxiv.Result.Author('W. A. Coles'), arxiv.Result.Author('J. -B. Wang'), arxiv.Result.Author('R. M. Shannon'), arxiv.Result.Author('R. N. Manchester'), arxiv.Result.Author('M. Bailes'), arxiv.Result.Author('N. D. R. Bhat'), arxiv.Result.Author('S. Burke-Spolaor'), arxiv.Result.Author('S. Dai'), arxiv.Result.Author('M. J. Keith'), arxiv.Result.Author('M. Kerr'), arxiv.Result.Author('Y. Levin'), arxiv.Result.Author('D. R. Madison'), arxiv.Result.Author('S. Osłowski'), arxiv.Result.Author('V. Ravi'), arxiv.Result.Author('L. Toomey'), arxiv.Result.Author('W. van Straten')]","A few typos corrected, to match the published version, 13 pages, 11
  figures",2014-09-18 08:23:54+00:00,"['astro-ph.GA', 'astro-ph.CO', 'astro-ph.HE', 'astro-ph.IM', 'gr-qc']"
10.3847/1538-4357/aa679e,"[arxiv.Result.Author('Tansu Daylan'), arxiv.Result.Author('Stephen K. N. Portillo'), arxiv.Result.Author('Douglas P. Finkbeiner')]",,2017-03-09 21:14:47+00:00,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.HE', 'hep-ph']"
10.1103/PhysRevD.98.043009,"[arxiv.Result.Author('Bhaskaran Balaji'), arxiv.Result.Author('Ilias Cholis'), arxiv.Result.Author('Patrick J. Fox'), arxiv.Result.Author('Samuel D. McDermott')]","23 pages, 25 figures, 4 tables, 3 appendices",2018-03-05 22:26:54+00:00,"['astro-ph.HE', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.IM', 'hep-ph']"
10.1103/PhysRevLett.121.011102,"[arxiv.Result.Author('Asher Berlin'), arxiv.Result.Author('Dan Hooper'), arxiv.Result.Author('Gordan Krnjaic'), arxiv.Result.Author('Samuel D. McDermott')]","7 pgs, 3",2018-03-07 18:30:39+00:00,"['hep-ph', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.IM']"
10.1007/s10686-021-09729-5,"[arxiv.Result.Author('J. Chluba'), arxiv.Result.Author('M. H. Abitbol'), arxiv.Result.Author('N. Aghanim'), arxiv.Result.Author('Y. Ali-Haimoud'), arxiv.Result.Author('M. Alvarez'), arxiv.Result.Author('K. Basu'), arxiv.Result.Author('B. Bolliet'), arxiv.Result.Author('C. Burigana'), arxiv.Result.Author('P. de Bernardis'), arxiv.Result.Author('J. Delabrouille'), arxiv.Result.Author('E. Dimastrogiovanni'), arxiv.Result.Author('F. Finelli'), arxiv.Result.Author('D. Fixsen'), arxiv.Result.Author('L. Hart'), arxiv.Result.Author('C. Hernandez-Monteagudo'), arxiv.Result.Author('J. C. Hill'), arxiv.Result.Author('A. Kogut'), arxiv.Result.Author('K. Kohri'), arxiv.Result.Author('J. Lesgourgues'), arxiv.Result.Author('B. Maffei'), arxiv.Result.Author('J. Mather'), arxiv.Result.Author('S. Mukherjee'), arxiv.Result.Author('S. P. Patil'), arxiv.Result.Author('A. Ravenni'), arxiv.Result.Author('M. Remazeilles'), arxiv.Result.Author('A. Rotti'), arxiv.Result.Author('J. A. Rubino-Martin'), arxiv.Result.Author('J. Silk'), arxiv.Result.Author('R. A. Sunyaev'), arxiv.Result.Author('E. R. Switzer')]","20 pages + references and title page, 12 figures, extended white
  paper for ESA's Voyage 2050 call, some parts based on arXiv:1903.04218",2019-09-04 07:40:24+00:00,"['astro-ph.CO', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.IM', 'gr-qc']"
10.1103/PhysRevD.104.063518,"[arxiv.Result.Author('Suvodip Mukherjee'), arxiv.Result.Author('Joseph Silk')]","12 pages, 3 figures, 1 table. Accepted for publication in Phys. Rev.
  D",2021-08-05 08:59:24+00:00,"['astro-ph.HE', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.IM', 'gr-qc']"
10.1103/PhysRevD.107.023022,"[arxiv.Result.Author('Adam Coogan'), arxiv.Result.Author('Alexander Moiseev'), arxiv.Result.Author('Logan Morrison'), arxiv.Result.Author('Stefano Profumo'), arxiv.Result.Author('Matthew G. Baring'), arxiv.Result.Author('Aleksey Bolotnikov'), arxiv.Result.Author('Gabriella A. Carini'), arxiv.Result.Author('Sven C. Herrmann'), arxiv.Result.Author('Francesco Longo'), arxiv.Result.Author('Floyd W. Stecker'), arxiv.Result.Author('Alessandro Armando Vigliano'), arxiv.Result.Author('Richard S. Woolf')]","27 pages, 10 figures, ~matches published version",2023-05-02 15:53:16+00:00,"['astro-ph.HE', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.IM', 'hep-ph']"
10.3847/1538-4357/acd116,"[arxiv.Result.Author('Júlia Sisk-Reynés'), arxiv.Result.Author('Christopher S. Reynolds'), arxiv.Result.Author('Michael L. Parker'), arxiv.Result.Author('James H. Matthews'), arxiv.Result.Author('M. C. David Marsh')]","22 pages, 10 figures, 3 tables. Accepted for publication at the
  Astrophysical Journal. Comments welcome",2023-04-25 07:23:13+00:00,"['astro-ph.HE', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.IM', 'hep-ph']"
10.1093/mnras/stad976,"[arxiv.Result.Author('Philip F. Hopkins'), arxiv.Result.Author('Iryna S. Butsky'), arxiv.Result.Author('Suoqing Ji'), arxiv.Result.Author('Dusan Keres')]","12 pages, 4 figures. Updated to match published MNRAS version",2023-08-28 17:39:06+00:00,"['astro-ph.GA', 'astro-ph.CO', 'astro-ph.HE', 'astro-ph.IM', 'physics.plasm-ph']"
10.1093/mnras/stae2605,"[arxiv.Result.Author('Mudit Garg'), arxiv.Result.Author('Laura Sberna'), arxiv.Result.Author('Lorenzo Speri'), arxiv.Result.Author('Francisco Duque'), arxiv.Result.Author('Jonathan Gair')]","11 pages, 8 figures. Accepted by MNRAS",2024-11-20 12:19:00+00:00,"['astro-ph.GA', 'astro-ph.CO', 'astro-ph.HE', 'astro-ph.IM', 'gr-qc']"
10.1093/mnras/stv1427,"[arxiv.Result.Author('S. Walch'), arxiv.Result.Author('A. Whitworth'), arxiv.Result.Author('T. Bisbas'), arxiv.Result.Author('D. A. Hubber'), arxiv.Result.Author('R. Wuensch')]","10 pages, 7 figures, submitted to MNRAS",2015-05-21 19:41:11+00:00,"['astro-ph.GA', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.SR', 'physics.comp-ph']"
10.1093/mnras/stv2745,"[arxiv.Result.Author('Philip F. Hopkins'), arxiv.Result.Author('Hyunseok Lee')]","17 pages, 14 figures, MNRAS. Replaced with published version.
  Expanded survey of magnetic field effects",2015-12-13 23:44:20+00:00,"['astro-ph.GA', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.SR', 'physics.flu-dyn']"
10.1093/mnras/stw1578,[arxiv.Result.Author('Philip F. Hopkins')],"12 pages, 8 figures. MNRAS (updated to published version). A public
  version of the GIZMO code, user's guide, test problem setups, and movies are
  available at http://www.tapir.caltech.edu/~phopkins/Site/GIZMO.html",2017-07-07 23:02:42+00:00,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.SR', 'physics.flu-dyn']"
10.18727/0722-6691/5242,"[arxiv.Result.Author('Richard I. Anderson'), arxiv.Result.Author('Sherry H. Suyu'), arxiv.Result.Author('Antoine Mérand')]","Report on ESO's first e-conference: ""Assessing Uncertainties in
  Hubble's Constant Across the Universe"" (H0 2020). 9 pages, 5 figures, 2
  tables. To be submitted to the ESO Messenger",2021-03-31 20:15:37+00:00,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.SR', 'cs.DL']"
10.1088/0004-637X/763/1/51,"[arxiv.Result.Author('Christoph Federrath'), arxiv.Result.Author('Ralf S. Klessen')]","23 pages, 14 figures, ApJ in press, more info at
  http://www.ita.uni-heidelberg.de/~chfeder/pubs/sfe/sfe.shtml?lang=en",2012-12-20 13:50:50+00:00,"['astro-ph.SR', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.IM', 'physics.data-an']"
,"[arxiv.Result.Author('Yingjie Li'), arxiv.Result.Author('Ye Xu'), arxiv.Result.Author('Jingjing Li'), arxiv.Result.Author('Shuaibo Bian'), arxiv.Result.Author('Zehao Lin'), arxiv.Result.Author('Chaojie Hao'), arxiv.Result.Author('Dejian Liu')]","41 pages, 12 figures, 4 tables. Accepted to RAA (Review)",2024-04-23 01:46:58+00:00,"['astro-ph.GA', 'astro-ph.CO', 'astro-ph.IM', 'astro-ph.SR', 'gr-qc']"
10.1093/acprof:oso/9780199694587.001.0001,[arxiv.Result.Author('Thomas J. Loredo')],"28 pages, 6 figures. Invited discussion paper for the Ninth Valencia
  International Conference on Bayesian Statistics (discussant was Peter
  Mueller); to appear in ""Bayesian Statistics 9,"" ed. by Jos\'e M. Bernardo et
  al., Oxford University Press (2011); see
  http://ukcatalogue.oup.com/product/9780199694587.do",2011-07-28 19:51:53+00:00,"['astro-ph.IM', 'astro-ph.EP', 'astro-ph.HE', 'stat.AP']"
,"[arxiv.Result.Author('M. Türler'), arxiv.Result.Author('N. Produit'), arxiv.Result.Author('L. Pavan'), arxiv.Result.Author('C. Ferrigno'), arxiv.Result.Author('P. Bordas')]","Proceedings of ""An INTEGRAL view of the high-energy sky (the first 10
  years)"" the 9th INTEGRAL Workshop, October 15-19, 2012, Paris, France, in
  Proceedings of Science (INTEGRAL 2012), Eds. A. Goldwurm, F. Lebrun and C.
  Winkler, (http://pos.sissa.it/cgi-bin/reader/conf.cgi?confid=176), id 067",2013-02-26 17:01:20+00:00,"['astro-ph.HE', 'astro-ph.EP', 'astro-ph.IM']"
10.1117/12.2057031,"[arxiv.Result.Author('Nicholas M. Law'), arxiv.Result.Author('Octavi Fors'), arxiv.Result.Author('Philip Wulfken'), arxiv.Result.Author('Jeffrey Ratzloff'), arxiv.Result.Author('Dustin Kavanaugh')]","9 pages, 5 figures, presented at SPIE Astronomical Telescopes +
  Instrumentation",2014-06-30 20:00:28+00:00,"['astro-ph.IM', 'astro-ph.EP', 'astro-ph.HE']"
,"[arxiv.Result.Author('A. Mishev'), arxiv.Result.Author('P. I. Y. Velinov')]","24 pages, 11 figures, extended version of paper accpted for
  publication in JASTP",2014-09-26 10:12:17+00:00,"['astro-ph.HE', 'astro-ph.EP', 'astro-ph.IM']"
10.1103/PhysRevLett.114.165001,"[arxiv.Result.Author('P. Schellart'), arxiv.Result.Author('T. N. G. Trinh'), arxiv.Result.Author('S. Buitink'), arxiv.Result.Author('A. Corstanje'), arxiv.Result.Author('J. E. Enriquez'), arxiv.Result.Author('H. Falcke'), arxiv.Result.Author('J. R. Hörandel'), arxiv.Result.Author('A. Nelles'), arxiv.Result.Author('J. P. Rachen'), arxiv.Result.Author('L. Rossetto'), arxiv.Result.Author('O. Scholten'), arxiv.Result.Author('S. ter Veen'), arxiv.Result.Author('S. Thoudam'), arxiv.Result.Author('U. Ebert'), arxiv.Result.Author('C. Koehn'), arxiv.Result.Author('C. Rutjes'), arxiv.Result.Author('A. Alexov'), arxiv.Result.Author('J. M. Anderson'), arxiv.Result.Author('I. M. Avruch'), arxiv.Result.Author('M. J. Bentum'), arxiv.Result.Author('G. Bernardi'), arxiv.Result.Author('P. Best'), arxiv.Result.Author('A. Bonafede'), arxiv.Result.Author('F. Breitling'), arxiv.Result.Author('J. W. Broderick'), arxiv.Result.Author('M. Brüggen'), arxiv.Result.Author('H. R. Butcher'), arxiv.Result.Author('B. Ciardi'), arxiv.Result.Author('E. de Geus'), arxiv.Result.Author('M. de Vos'), arxiv.Result.Author('S. Duscha'), arxiv.Result.Author('J. Eislöffel'), arxiv.Result.Author('R. A. Fallows'), arxiv.Result.Author('W. Frieswijk'), arxiv.Result.Author('M. A. Garrett'), arxiv.Result.Author('J. Grießmeier'), arxiv.Result.Author('A. W. Gunst'), arxiv.Result.Author('G. Heald'), arxiv.Result.Author('J. W. T. Hessels'), arxiv.Result.Author('M. Hoeft'), arxiv.Result.Author('H. A. Holties'), arxiv.Result.Author('E. Juette'), arxiv.Result.Author('V. I. Kondratiev'), arxiv.Result.Author('M. Kuniyoshi'), arxiv.Result.Author('G. Kuper'), arxiv.Result.Author('G. Mann'), arxiv.Result.Author('R. McFadden'), arxiv.Result.Author('D. McKay-Bukowski'), arxiv.Result.Author('J. P. McKean'), arxiv.Result.Author('M. Mevius'), arxiv.Result.Author('J. Moldon'), arxiv.Result.Author('M. J. Norden'), arxiv.Result.Author('E. Orru'), arxiv.Result.Author('H. Paas'), arxiv.Result.Author('M. Pandey-Pommier'), arxiv.Result.Author('R. Pizzo'), arxiv.Result.Author('A. G. Polatidis'), arxiv.Result.Author('W. Reich'), arxiv.Result.Author('H. Röttgering'), arxiv.Result.Author('A. M. M. Scaife'), arxiv.Result.Author('D. J. Schwarz'), arxiv.Result.Author('M. Serylak'), arxiv.Result.Author('O. Smirnov'), arxiv.Result.Author('M. Steinmetz'), arxiv.Result.Author('J. Swinbank'), arxiv.Result.Author('M. Tagger'), arxiv.Result.Author('C. Tasse'), arxiv.Result.Author('M. C. Toribio'), arxiv.Result.Author('R. J. van Weeren'), arxiv.Result.Author('R. Vermeulen'), arxiv.Result.Author('C. Vocks'), arxiv.Result.Author('M. W. Wise'), arxiv.Result.Author('O. Wucknitz'), arxiv.Result.Author('P. Zarka')]","6 pages, 3 figures, accepted for publication in Physical Review
  Letters",2015-04-22 11:37:44+00:00,"['astro-ph.HE', 'astro-ph.EP', 'astro-ph.IM']"
10.1088/1742-6596/1181/1/012068,"[arxiv.Result.Author('Anatoly A. Lagutin'), arxiv.Result.Author('Nikolay V. Volkov'), arxiv.Result.Author('Andrey P. Zhukov'), arxiv.Result.Author('Konstantin M. Makushev'), arxiv.Result.Author('Alexander A. Maslov'), arxiv.Result.Author('Egor Yu. Mordvin'), arxiv.Result.Author('Roman I. Raikin'), arxiv.Result.Author('Tatyana L. Serebryakova'), arxiv.Result.Author('Vladimir V. Sinitsin')]","7 pages, 6 figures, 26th Extended European Cosmic Ray Symposium",2019-05-16 12:38:25+00:00,"['astro-ph.HE', 'astro-ph.EP', 'astro-ph.IM', 'physics.space-ph']"
10.3847/1538-4357/ab7dc7,"[arxiv.Result.Author('Manasvi Lingam'), arxiv.Result.Author('Abraham Loeb')]",Published in The Astrophysical Journal; 22 pages; 4 figures,2020-05-01 17:05:40+00:00,"['astro-ph.IM', 'astro-ph.EP', 'astro-ph.HE', 'physics.space-ph']"
10.3847/1538-3881/ac00ac,"[arxiv.Result.Author('John F. Chandler'), arxiv.Result.Author('James B. R. Battat'), arxiv.Result.Author('Thomas W. Murphy, Jr.'), arxiv.Result.Author('Daniel Reardon'), arxiv.Result.Author('Robert D. Reasenberg'), arxiv.Result.Author('Irwin I. Shapiro')]","9 pages, 1 figure, submitted to Astronomical Journal (AJ)",2021-03-31 00:50:01+00:00,"['astro-ph.IM', 'astro-ph.EP', 'astro-ph.HE']"
10.1038/s41598-021-92162-7,"[arxiv.Result.Author('Beatriz Villarroel'), arxiv.Result.Author('Geoffrey W. Marcy'), arxiv.Result.Author('Stefan Geier'), arxiv.Result.Author('Alina Streblyanska'), arxiv.Result.Author('Enrique Solano Marquez'), arxiv.Result.Author('Vitaly N. Andruk'), arxiv.Result.Author('Matthew E. Shultz'), arxiv.Result.Author('Alok C. Gupta'), arxiv.Result.Author('Lars Mattsson')]","21 pages, 3 figures, 1 table. Published in Scientific Reports.
  Supplementary information can be found on the publishers webpage (open
  access)",2021-06-21 13:49:34+00:00,"['astro-ph.IM', 'astro-ph.EP', 'astro-ph.HE', 'physics.space-ph']"
10.1093/mnras/sts448,"[arxiv.Result.Author('Hsiang-Kuang Chang'), arxiv.Result.Author('Chih-Yuan Liu'), arxiv.Result.Author('Kuan-Ting Chen')]",Accepted to publish in MNRAS,2012-11-20 02:04:28+00:00,"['astro-ph.EP', 'astro-ph.HE', 'astro-ph.IM']"
10.21105/astro.1708.00605,"[arxiv.Result.Author('Soham Kulkarni'), arxiv.Result.Author('Shantanu Desai')]","8 pages, 7 figures",2018-06-01 17:51:12+00:00,"['astro-ph.IM', 'astro-ph.EP', 'astro-ph.HE', 'physics.data-an']"
,"[arxiv.Result.Author('Jigisha V. Patel'), arxiv.Result.Author('Avinash A. Deshpande')]","10 pages, 11 figures, Accepted for publication in JoAA",2018-11-30 10:47:42+00:00,"['astro-ph.HE', 'astro-ph.EP', 'astro-ph.IM']"
10.1093/mnras/stab1156,"[arxiv.Result.Author('Mark J. Kuiack'), arxiv.Result.Author('Ralph A. M. J. Wijers'), arxiv.Result.Author('Aleksandar Shulevski'), arxiv.Result.Author('Antonia Rowlinson')]","11 pages, 10 figures. Accepted by MNRAS",2021-04-28 09:21:50+00:00,"['astro-ph.IM', 'astro-ph.EP', 'astro-ph.HE']"
10.3390/universe8110561,"[arxiv.Result.Author('Beatriz Villarroel'), arxiv.Result.Author('Kristiaan Pelckmans'), arxiv.Result.Author('Enrique Solano'), arxiv.Result.Author('Mikael Laaksoharju'), arxiv.Result.Author('Abel Souza'), arxiv.Result.Author('Onyeuwaoma Nnaemeka Dom'), arxiv.Result.Author('Khaoula Laggoune'), arxiv.Result.Author('Jamal Mimouni'), arxiv.Result.Author('Hichem Guergouri'), arxiv.Result.Author('Lars Mattsson'), arxiv.Result.Author('Aurora Lago García'), arxiv.Result.Author('Johan Soodla'), arxiv.Result.Author('Diego Castillo'), arxiv.Result.Author('Matthew E. Shultz'), arxiv.Result.Author('Rubby Aworka'), arxiv.Result.Author('Sébastien Comerón'), arxiv.Result.Author('Stefan Geier'), arxiv.Result.Author('Geoffrey Marcy'), arxiv.Result.Author('Alok C. Gupta'), arxiv.Result.Author('Josefine Bergstedt'), arxiv.Result.Author('Rudolf E. Bär'), arxiv.Result.Author('Bart Buelens'), arxiv.Result.Author('Emilio Enriquez'), arxiv.Result.Author('Christopher K. Mellon'), arxiv.Result.Author('M. Almudena Prieto'), arxiv.Result.Author('Dismas Simiyu Wamalwa'), arxiv.Result.Author('Rafael S. de Souza'), arxiv.Result.Author('Martin J. Ward')]","16 pages, 7 figures, contribution to IAC 2020 conference",2022-12-26 19:22:05+00:00,"['astro-ph.IM', 'astro-ph.EP', 'astro-ph.HE']"
10.3389/feart.2020.590295,"[arxiv.Result.Author('Kimberly Kowal Arcand'), arxiv.Result.Author('Sara Rose Price'), arxiv.Result.Author('Megan Watzke')]",16 pages,2020-12-04 18:59:40+00:00,"['astro-ph.IM', 'astro-ph.EP', 'astro-ph.HE']"
10.1093/mnrasl/slab025,"[arxiv.Result.Author('Deniz Soyuer'), arxiv.Result.Author('Lorenz Zwick'), arxiv.Result.Author(""Daniel J. D'Orazio""), arxiv.Result.Author('Prasenjit Saha')]",Accepted for publication in MNRAS: Letters,2021-03-10 11:29:12+00:00,"['astro-ph.HE', 'astro-ph.EP', 'astro-ph.IM', 'gr-qc']"
10.3847/1538-4357/ac9a49,"[arxiv.Result.Author('Yoshifumi Futaana'), arxiv.Result.Author('Manabu Shimoyama'), arxiv.Result.Author('Martin Wieser'), arxiv.Result.Author('Stefan Karlsson'), arxiv.Result.Author('Herman Andersson'), arxiv.Result.Author('Hans Nilsson'), arxiv.Result.Author('Xiao-Dong Wang'), arxiv.Result.Author('Andrey Fedorov'), arxiv.Result.Author('Nicolas Andre'), arxiv.Result.Author('Mats Holmström'), arxiv.Result.Author('Stas Barabash')]",Submitted to ApJ (2022-03-19),2022-04-04 10:48:47+00:00,"['astro-ph.EP', 'astro-ph.HE', 'astro-ph.IM', 'physics.space-ph']"
10.5194/amt-15-3141-2022,"[arxiv.Result.Author('Daochun Yu'), arxiv.Result.Author('Haitao Li'), arxiv.Result.Author('Baoquan Li'), arxiv.Result.Author('Mingyu Ge'), arxiv.Result.Author('Youli Tuo'), arxiv.Result.Author('Xiaobo Li'), arxiv.Result.Author('Wangchen Xue'), arxiv.Result.Author('Yaning Liu'), arxiv.Result.Author('Aoying Wang'), arxiv.Result.Author('Yajun Zhu'), arxiv.Result.Author('Bingxian Luo')]","31 pages, 15 figures, 5 tables, accepted for publication in
  Atmospheric Measurement Techniques",2022-04-21 15:31:44+00:00,"['astro-ph.EP', 'astro-ph.HE', 'astro-ph.IM']"
10.1017/S1743921322001818,"[arxiv.Result.Author('Alessandro Alberto Trani'), arxiv.Result.Author('Mario Spera')]","6 pages, 2 figures",2022-06-21 17:58:01+00:00,"['astro-ph.HE', 'astro-ph.EP', 'astro-ph.IM']"
